,nodeNum,nodeIndex,blocksize,TotalHeights,Throughput,Overhead,Latency
252,16.0,3.0,1200.0,64.0,256.8954642341367,0.8821092775122372,4.74901339203125
253,16.0,4.0,1200.0,64.0,257.15337237808933,0.8579315047155831,4.744250439796875
254,16.0,5.0,1200.0,64.0,257.2715327060887,0.926535523880652,4.7420714883125
255,16.0,6.0,1200.0,64.0,257.57197272293865,0.881951225767166,4.73654018759375
256,16.0,7.0,1200.0,64.0,257.82585881413263,0.8778316512542328,4.731876025203125
257,16.0,8.0,1200.0,64.0,258.11523734629515,0.9032886963400959,4.7265710174375
258,16.0,9.0,1200.0,64.0,258.2128813624496,0.8870662975447211,4.7247836496875
259,16.0,10.0,1200.0,64.0,258.1506535560612,0.9021846968163596,4.725922569609375
260,16.0,11.0,1200.0,64.0,258.596187970147,0.8898449553391918,4.717780295125
261,16.0,12.0,1200.0,64.0,258.7559234163736,0.9067699674887645,4.714867910625
262,16.0,13.0,1200.0,64.0,258.9138210126518,0.9012657894981702,4.71199256659375
263,16.0,14.0,1200.0,64.0,259.37587406278084,0.8844077248566342,4.703598607265625
264,16.0,15.0,1200.0,64.0,259.49295136878237,0.8916297592114326,4.701476450765625
265,16.0,16.0,1200.0,64.0,260.6991340391045,0.9030465432218477,4.679724021703125
266,16.0,1.0,1400.0,57.0,268.57946940464814,0.922688451311865,5.287075751350876
267,16.0,2.0,1400.0,57.0,268.4452354749524,0.8945577128817046,5.289719512017544
268,16.0,3.0,1400.0,57.0,268.69510863681563,0.9058158357457975,5.284800334491228
269,16.0,4.0,1400.0,57.0,268.9475859643668,0.9047729341444297,5.279839173526316
270,16.0,5.0,1400.0,57.0,269.2463710239424,0.9621868100421946,5.273980089684211
271,16.0,6.0,1400.0,57.0,269.46269975480163,0.9216526416961175,5.269746058701754
272,16.0,7.0,1400.0,57.0,269.93647827999564,0.9055392632292522,5.260496873368421
273,16.0,8.0,1400.0,57.0,269.9678695704765,0.9197987657681758,5.259885193964912
274,16.0,9.0,1400.0,57.0,270.6090101711235,0.9099157147248614,5.247423207017544
275,16.0,10.0,1400.0,57.0,270.1004020919777,0.9126715692052073,5.257304280192983
276,16.0,11.0,1400.0,57.0,270.9634251161375,0.9192929016987347,5.24055967845614
277,16.0,12.0,1400.0,57.0,271.11336496508386,0.9221353376698378,5.237661375280702
278,16.0,13.0,1400.0,57.0,271.08310197617334,0.9065974711059412,5.238246093719298
279,16.0,14.0,1400.0,57.0,271.66644755333374,0.918472060474321,5.226998080877194
280,16.0,15.0,1400.0,57.0,272.2063041771591,0.9212811308033445,5.216631570280701
281,16.0,16.0,1400.0,57.0,273.0065246160407,0.9275269983320722,5.201340891017543
282,16.0,1.0,1600.0,50.0,268.941844685851,0.9116942979885526,6.0236070809
283,16.0,2.0,1600.0,50.0,268.2023588634911,0.916089588657259,6.040215331680001
284,16.0,3.0,1600.0,50.0,268.5106698853082,0.9086002712356441,6.0332797973800005
285,16.0,4.0,1600.0,50.0,268.8209086615828,0.903270802814696,6.0263169560200005
286,16.0,5.0,1600.0,50.0,269.25007739673254,0.9531807822259178,6.0167113624
